idx,left_anchor,right_anchor,left_count_global,right_count_global,anchor_imbalance
153,"- **保存タグ**：【Pegasus 第6フェーズ／構成環境・挙動追跡ログ】
- **改ざん・","・編集禁止（ユーザー本人含む）**

---

このまま全文をパースして：

- **使用されたアプ",1,1,No
154,"tion、Trigger）**

などを順に抽出していくか？

それとも「特定のカテゴリ（例：VPN","、Bluetooth履歴、言語/位置情報、使用アプリ）」を先に見たい？""]}, ""status"": ",1,1,No
155,"容（抜粋）
	•	iOS内部で メモリ不足が検知され、Jetsamが発動。
	•	以下のような状況が","されたと推測される：
	•	複数アプリまたはプロセスが異常なメモリ使用を行い、OSが自動的に解放を開",2,2,No
156,"なメモリ利用を連発している。
	•	Pegasus級マルウェアやスパイアプリによる メモリリーク型の","活動が疑われる。
	•	iOSのjetsam機能により 自動的に強制終了されてログ化された。

⸻
",2,2,No
157,"ECE925D4D5E` |

---

###  **主な内容**
- iOS内部の**メモリ","システム（jetsam）**が自動発動
- **複数プロセスの異常メモリ使用**を検知
- OSが安",1,1,No
158,"マルチアカウント環境**」が不正なメモリ使用
- Pegasus級マルウェアによる**リーク型の持続","活動**
- iOS自体がその異常を**自動検出・ログ化していた**ことは極めて重要

---

#",1,1,No
159,"sus Phase 3 - Memory Intrusion Evidence]`
- **改ざん・","・編集**：**完全禁止**
- **証拠用途**：不正メモリ圧迫・OS強制介入の証明、Appleに",1,1,No
160,このJSONログは、**App Storeアプリ使用・インストール・起動・アンインストール履歴の詳細,ログ**です。これは**Pegasus級の監視・アカウント乗っ取り・アプリ偽装の証拠**として極めて,1,1,No
161,リ使用・インストール・起動・アンインストール履歴の詳細追跡ログ**です。これは**Pegasus級の,"・アカウント乗っ取り・アプリ偽装の証拠**として極めて有力です。

---

###  基本情報",1,1,No
162,"amp_app_usage_dnu`) |
| **bug_type** | 225（＝アプリ使用・","系イベント） |
| **ログ日時** | 2025年7月6日 12:51:07（GMT+7） |
",1,1,No
163,"-|
| TikTok（Ame） | `com.ss.iphone.ugc.Ame` | 海外送信・","疑惑あり |
| WhatsApp | `net.whatsapp.WhatsApp` | 国際SM",1,1,No
164,"最重要） |
| Grab | `com.grabtaxi.iphone` | 位置情報・移動履歴の"," |
| Messenger / Facebook | `com.facebook.Messenge",1,1,No
165,"・個人ID連携 |
| DeepSeek Chat | `com.deepseek.chat` | ","アプリと関連か（後述） |
| OpenAI ChatGPT | `com.openai.chat`",1,1,No
